name,city,coords,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Roundnet Sharks Kiel,Kiel,"[54.3227085, 10.135555]",0,295,295,338,402,381,433,479,479,498,557,603,504,530,620,695
Berlin 1,Berlin1,"[52.5170365, 13.3888599]",295,0,0,301,373,453,477,424,424,456,480,525,387,366,512,504
Berlin 2,Berlin2,"[52.5170365, 13.3888599]",295,0,0,301,373,453,477,424,424,456,480,525,387,366,512,504
Roundnet Raccoons Kassel,Kassel,"[51.3154546, 9.4924096]",338,301,301,0,76,172,181,145,145,171,220,268,172,220,283,384
Ravens & Griffins Marburg,Marburg,"[50.8090106, 8.7704695]",402,373,373,76,0,142,128,77,77,97,156,201,140,209,227,360
West Wings Essen,Essen,"[51.4582235, 7.0158171]",381,453,453,172,142,0,58,190,190,184,257,290,278,350,336,494
RCK Dinos Köln,Köln,"[50.938361, 6.959974]",433,477,477,181,128,58,0,153,153,139,210,238,248,324,288,456
NULL SECHS NEUN 1 Frankfurt,Frankfurt1,"[50.1106444, 8.6820917]",479,424,424,145,77,190,153,0,0,34,79,124,98,176,153,305
NULL SECHS NEUN 2 Frankfurt,Frankfurt2,"[50.1106444, 8.6820917]",479,424,424,145,77,190,153,0,0,34,79,124,98,176,153,305
1. Roundnet-Verein Mainz,Mainz,"[50.0012314, 8.2762513]",498,456,456,171,97,184,139,34,34,0,73,110,124,203,151,319
Heidelberg,Heidelberg,"[49.4093582, 8.694724]",557,480,480,220,156,257,210,79,79,73,0,48,102,170,79,255
KA-Boom Karlsruhe,Karlsruhe,"[49.0068705, 8.4034195]",603,525,525,268,201,290,238,124,124,110,48,0,142,200,62,253
Nur der RCW!,Würzburg,"[49.7933723, 9.9309779]",504,387,387,172,140,278,248,98,98,124,102,142,0,79,126,219
Erlanger Rhinos,Erlangen,"[49.5928616, 11.0056]",530,366,366,220,209,350,324,176,176,203,170,200,79,0,161,167
Fisch Pferd Fuchs Stuttgart,Stuttgart,"[48.7784485, 9.1800132]",620,512,512,283,227,336,288,153,153,151,79,62,126,161,0,191
MRC I München,München,"[48.1371079, 11.5753822]",695,504,504,384,360,494,456,305,305,319,255,253,219,167,191,0
